name,recorded_date,over_all_rating,price_range,range,top_speed,power,front_suspension,rear_suspension,front_type,wheel_type,total_no_of_reviews,design,comfort,reliability_maintenance,kerb_weight,charging_time,seat_height,max_power,battery_capacity,rear_type,mileage_performance,maintenance_cost,features,good_features,bad_features,performance,mileage,safety,value_for_money,styling
River Indie,2023-11-10,4.80,? 1.25 Lakh ,120 km/charge,90 kmph,6700,Telescopic Suspension with Hydraulic Dampers,Coil spring with Twin Hydraulic Dampers,Disc,Alloy,18 ratings,5.00,5.00,4.60,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Benling India Aura,2023-11-10,3.00,"? 94,296 ",120 km/charge,60 kmph,BLDC 2500W,Telescopic,null,Disc,Stylish Alloy Wheels,42 ratings,null,2.60,5.00,66 Kg,4-Hrs,1175 mm,BLDC 2500W,2.88 kwh,Drum,5.00,null,null,null,null,null,null,null,null,null
Benling India Falcon,2023-11-10,3.80,"? 62,200 - ? 69,540 ",75 km/charge,25 kmph,250W& 60V Brushless Motor,Telescopic,Robust Rear Spring,Disc,null,8 ratings,null,4.00,4.00,66 Kg,7 - 8 Hrs (VRLA)& 4 Hrs (Li-Ion),null,250W& 60V Brushless Motor,1.2 kwh,Drum,4.00,null,null,null,null,null,null,null,null,null
Benling India Kriti,2023-11-10,3.70,"? 56,940 - ? 64,151 ",60 km/charge,25 kmph,250W& 48V Brushless Motor,Telescopic,null,Disc,Alloy Wheels,1 ratings,null,null,null,66 Kg,8 - 9 Hrs (VRLA) & 4 Hrs (Li-Ion),null,250W& 48V Brushless Motor,0.96 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
GT Soul,2023-11-10,4.00,"? 52,861 - ? 75,350 ",55 km/charge,25 kmph,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,1 ratings,null,null,null,95 Kg,7-8 Hrs,null,null,1.344 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
GT One,2023-11-10,4.00,"? 62,850 - ? 85,945 ",55 km/charge,25 kmph,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology”,Disc,null,null,null,null,null,88 Kg,7-8 Hrs,null,null,1.344 kwh,Disc,null,null,null,null,null,null,null,null,null,null
GT Prime,2023-11-10,4.00,"? 57,417 - ? 77,763 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,1 ratings,null,null,null,85 Kg,7 - 8 hours,null,null,1.34 kwh,Drum,null,null,null,null,null,null,null,null,null,null
GT One Plus,2023-11-10,4.00,"? 68,982 - ? 86,970 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,98 Kg,7 - 8 hours,null,null,1.34 kwh,Disc,null,null,null,null,null,null,null,null,null,null
GT Drive Pro,2023-11-10,null,"? 67,801 - ? 90,530 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,85 Kg,7 - 8 hours,760 mm,null,1.34 kwh,Drum,null,null,null,null,null,null,null,null,null,null
GT Drive Plus,2023-11-10,4.00,? 1.03 Lakh ,80 km/charge,55 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,null,null,null,null,88 Kg,4 - 5 hours,780 mm,null,null,Drum,null,null,null,null,null,null,null,null,null,null
